,content,title,rating
10752,Stephen King Crime|Drama wrongful imprisonment|based on the works of stephen king|prison|escape from prison Tim Robbins|Morgan Freeman|Bob Gunton|William Sadler|Clancy Brown|Gil Bellows|Mark Rolston|James Whitmore|Jeffrey DeMunn|Larry Brandenburg|Neil Giuntoli|Brian Libby|David Proval|Joseph Ragno|Jude Ciccolella,"Shawshank Redemption, The (1994)",32831
12053,Winston Groom Comedy|Drama|Romance|War vietnam war|amputee|war hero|based on book Tom Hanks|Rebecca Williams|Sally Field|Michael Conner Humphreys|Harold G. Herthum|George Kelly|Bob Penny|John Randall|Sam Anderson|Margo Moorer|Ione M. Telech|Christine Seabrook|John Worsham|Peter Dobson|Siobhan Fallon Hogan,Forrest Gump (1994),32383
9281,Quentin Tarantino Comedy|Crime|Drama|Thriller nonlinear timeline|overdose|drug overdose|bondage Tim Roth|Amanda Plummer|Laura Lovelace|John Travolta|Samuel L. Jackson|Phil LaMarr|Frank Whaley|Burr Steers|Bruce Willis|Ving Rhames|Paul Calderon|Bronagh Gallagher|Rosanna Arquette|Eric Stoltz|Uma Thurman,Pulp Fiction (1994),31697
11259,Thomas Harris Crime|Horror|Thriller serial killer|psycho thriller|bad guy wins|stuck in a well Jodie Foster|Lawrence A. Bonney|Kasi Lemmons|Lawrence T. Wrentz|Scott Glenn|Anthony Heald|Frankie Faison|Don Brockett|Frank Seals Jr.|Stuart Rudin|Anthony Hopkins|Maria Skorobogatov|Jeffrie Lane|Leib Lensky|George 'Red' Schwartz,"Silence of the Lambs, The (1991)",29444
6879,Lilly Wachowski Action|Sci-Fi|Thriller simulated reality|artificial reality|war with machines|computer hacker Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss|Hugo Weaving|Gloria Foster|Joe Pantoliano|Marcus Chong|Julian Arahanga|Matt Doran|Belinda McClory|Anthony Ray Parker|Paul Goddard|Robert Taylor|David Aston|Marc Aden Gray,"Matrix, The (1999)",29014
7765,Michael Crichton Action|Adventure|Sci-Fi|Thriller national film registry|dinosaur|tyrannosaurus rex|theme park Sam Neill|Laura Dern|Jeff Goldblum|Richard Attenborough|Bob Peck|Martin Ferrero|BD Wong|Joseph Mazzello|Ariana Richards|Samuel L. Jackson|Wayne Knight|Gerald R. Molen|Miguel Sandoval|Cameron Thor|Christopher John Fields,Jurassic Park (1993),25518
10941,Steven Spielberg Drama|War accountant|champagne|villa|womanizer Liam Neeson|Ben Kingsley|Ralph Fiennes|Caroline Goodall|Jonathan Sagall|Embeth Davidtz|Malgorzata Gebel|Shmuel Levy|Mark Ivanir|Béatrice Macola|Andrzej Seweryn|Friedrich von Thun|Krzysztof Luft|Harry Nehring|Norbert Weisser,Schindler's List (1993),24004
9366,Randall Wallace Action|Drama|War scotland|revolt|based on true story|england James Robinson|Sean Lawlor|Sandy Nelson|James Cosmo|Sean McGinley|Alan Tall|Andrew Weir|Gerda Stevenson|Ralph Riach|Mhairi Calvey|Brian Cox|Patrick McGoohan|Peter Hanly|Sophie Marceau|Stephen Billington,Braveheart (1995),23722
1967,Chuck Palahniuk Action|Crime|Drama|Thriller surprise ending|fighting|anti establishment|multiple personality disorder Edward Norton|Brad Pitt|Meat Loaf|Zach Grenier|Richmond Arquette|David Andrews|George Maguire|Eugenie Bondurant|Helena Bonham Carter|Christina Cabot|Sydney 'Big Dawg' Colston|Rachel Singer|Christie Cronenweth|Tim DeZarn|Ezra Buzzington,Fight Club (1999),23536
4656,James Cameron Action|Sci-Fi time travel|liquid metal|future|sequel Arnold Schwarzenegger|Linda Hamilton|Edward Furlong|Robert Patrick|Earl Boen|Joe Morton|S. Epatha Merkerson|Castulo Guerra|Danny Cooksey|Jenette Goldstein|Xander Berkeley|Leslie Hamilton Gearren|Ken Gibbel|Robert Winley|Peter Schrum,Terminator 2: Judgment Day (1991),23075
